nVertex,arborescence,time
1000,21553,0.794
1000,20398,0.118
1000,17922,0.379
1000,19804,0.069
1000,21282,0.189
1000,19862,0.306
1000,19997,0.607
1000,19978,0.269
1000,19294,0.624
1000,20690,0.183
1000,21498,0.509
1000,19952,0.076
1000,20978,0.105
1000,18321,0.265
1000,20877,0.35
1000,20538,0.114
1000,19860,0.5
1000,21158,0.016
1000,18956,0.112
1000,19746,0.712
1000,20627,0.161
1000,20414,0.595
1000,21027,0.636
1000,20337,0.691
1000,21595,0.588
1000,19642,0.389
1000,20796,0.126
1000,21064,0.079
1000,22071,0.299
1000,19356,0.17
1000,19846,0.54
1000,20396,0.413
1000,20758,0.408
1000,19775,0.043
1000,20369,0.221
1000,20811,0.493
1000,19329,0.653
1000,20354,0.011
1000,19160,0.32
1000,19980,0.382
1000,19436,0.445
1000,18298,0.579
1000,20635,0.484
1000,20734,0.086
1000,21053,0.269
1000,21031,0.019
1000,20449,0.25
1000,19459,0.103
1000,20339,0.037
1000,20254,0.319
1000,20449,0.676
1000,20126,0.825
1000,21124,0.799
1000,19750,0.585
1000,20253,0.663
1000,20246,0.32
1000,20777,0.635
1000,20238,0.044
1000,20785,0.117
1000,20097,0.095
1000,20853,0.213
1000,20751,0.456
1000,20153,0.045
1000,19458,0.105
1000,19540,0.074
1000,21110,0.003
1000,20582,0.428
1000,19394,0.451
1000,20833,0.281
1000,20129,0.439
1000,20765,0.26
1000,22275,0.301
1000,21511,0.043
1000,21518,0.54
1000,19835,0.395
1000,20064,0.056
1000,19914,0.009
1000,20947,0.257
1000,21808,0.15
1000,18686,0.003
1000,20428,0.242
1000,19449,0.691
1000,20694,0.642
1000,21701,0.637
1000,20166,0.677
1000,21217,0.41
1000,18497,0.625
1000,19864,0.558
1000,21511,0.501
1000,20350,0.667
1000,21684,0.555
1000,20099,0.082
1000,21009,0.048
1000,19969,0.105
1000,20418,0.256
1000,19923,0.602
1000,21425,0.092
1000,20712,0.065
1000,21156,0.06
1000,20989,0.268
1000,19761,0.012
1000,19879,0.481
1000,20102,0.524
1000,21041,0.252
1000,19845,0.475
1000,20379,0.184
1000,20254,0.145
1000,20092,0.291
1000,20206,0.57
1000,20276,0.013
1000,19291,0.06
1000,21079,0.686
1000,20688,0.649
1000,19862,0.674
1000,19508,0.618
1000,20749,0.53
1000,20041,0.592
1000,21601,0.449
1000,19755,0.639
1000,19393,0.224
1000,20059,0.024
1000,19444,0.623
1000,20584,0.244
1000,18737,0.575
1000,19418,0.181
1000,19894,0.071
1000,20372,0.335
1000,20354,0.286
1000,19788,0.248
1000,20313,0.401
1000,20326,0.044
1000,20164,0.451
1000,21667,0.09
1000,19994,0.478
1000,20272,0.008
1000,20211,0.246
1000,20749,0.15
1000,20153,0.14
1000,19459,0.064
1000,20491,0.399
1000,20256,0.6
1000,19427,0.349
1000,19740,0.68
1000,19750,0.655
1000,20982,0.587
1000,20196,0.545
1000,20021,0.287
1000,19881,0.482
1000,19410,0.509
1000,20410,0.408
1000,19936,0.476
1000,20389,0.366
1000,19799,0.639
1000,19554,0.588
1000,19847,0.596
1000,20026,0.583
1000,20845,0.578
1000,20496,0.567
1000,20831,0.604
1000,19451,0.006
1000,20935,0.333
1000,20318,0.068
1000,21212,0.139
1000,19609,0.03
1000,19347,0.564
1000,20586,0.045
1000,19817,0.385
1000,19938,0.503
1000,20372,0.296
1000,18363,0.436
1000,21332,0.393
1000,20041,0.295
1000,20395,0.659
1000,19933,0.649
1000,19737,0.687
1000,21241,0.661
1000,20672,0.641
1000,20466,0.308
1000,20548,0.048
1000,20074,0.039
1000,20094,0.648
1000,20191,0.035
1000,20338,0.465
1000,19491,0.029
1000,20200,0.232
1000,20000,0.341
1000,19836,0.595
1000,20848,0.511
1000,18714,0.233
1000,19692,0.608
1000,19884,0.605
1000,20619,0.036
1000,20124,0.336
1000,20612,0.534
1000,20451,0.008
1000,20224,0.537
1000,20097,0.141
1000,20836,0.355
1000,20652,0.27
1000,20863,0.271
1000,19957,0.106
1000,18536,0.026
1000,20110,0.006
1000,20620,0.647
1000,20066,0.64
1000,21313,0.649
1000,21793,0.446
1000,20709,0.475
1000,19549,0.423
1000,20580,0.122
1000,19971,0.4
1000,20241,0.198
1000,19172,0.293
1000,20836,0.453
1000,20296,0.595
1000,19342,0.067
1000,19704,0.216
1000,20053,0.456
1000,20308,0.223
1000,20193,0.359
1000,19499,0.259
1000,20483,0.198
1000,19694,0.005
1000,20741,0.323
1000,22619,0.096
1000,19124,0.271
1000,19235,0.135
1000,20370,0.07
1000,20226,0.008
1000,20301,0.556
1000,20396,0.006
1000,20470,0.419
1000,19466,0.39
1000,21327,0.224
1000,19612,0.721
1000,19785,0.662
1000,19660,0.159
1000,20907,0.715
1000,20684,0.664
1000,20069,0.638
1000,21336,0.48
1000,19692,0.528
1000,20674,0.03
1000,20549,0.515
1000,20331,0.072
1000,19756,0.575
1000,21435,0.296
1000,20233,0.155
1000,19663,0.426
1000,20041,0.037
1000,19789,0.034
1000,20651,0.041
1000,18748,0.071
1000,20337,0.27
1000,19692,0.133
1000,20334,0.359
1000,20453,0.002
1000,20909,0.202
1000,19760,0.126
1000,21297,0.011
1000,19864,0.463
1000,19988,0.011
1000,20020,0.026
1000,20753,0.201
1000,20783,0.682
1000,21180,0.666
1000,20282,0.41
1000,20518,0.684
1000,20712,0.645
1000,20145,0.657
1000,20646,0.48
1000,21569,0.277
1000,20622,0.524
1000,21274,0.129
1000,20855,0.003
1000,19906,0.332
1000,20596,0.258
1000,19796,0.499
1000,20258,0.242
1000,20038,0.361
1000,19496,0.189
1000,20858,0.103
1000,19952,0.013
1000,20748,0.485
1000,21452,0.014
1000,19931,0.461
1000,21243,0.268
1000,20004,0.094
1000,20006,0.542
1000,19812,0.531
1000,20810,0.006
1000,20998,0.465
1000,20897,0.213
1000,20110,0.188
1000,20833,0.004
1000,20911,0.589
1000,20799,0.646
1000,20817,0.648
1000,20690,0.546
1000,20222,0.665
1000,20261,0.36
1000,18920,0.514
1000,18870,0.635
1000,21052,0.296
1000,21394,0.589
1000,20708,0.216
1000,19657,0.66
1000,18953,0.39
1000,19600,0.117
1000,21443,0.114
1000,21645,0.185
1000,19402,0.471
1000,19459,0.091
1000,20586,0.525
1000,21827,0.565
1000,19752,0.068
1000,20393,0.027
1000,20643,0.438
1000,19767,0.008
1000,20581,0.113
1000,20480,0.037
1000,20185,0.607
1000,20123,0.006
1000,19424,0.021
1000,19842,0.164
1000,20262,0.023
1000,20285,0.588
1000,20407,0.195
1000,20765,0.598
1000,19706,0.611
1000,20598,0.669
1000,20144,0.63
1000,20623,0.627
1000,19868,0.074
1000,21619,0.422
1000,21700,0.063
1000,19674,0.042
1000,20528,0.485
1000,21049,0.053
1000,18902,0.255
1000,18985,0.524
1000,19805,0.154
1000,19277,0.006
1000,20074,0.003
1000,20533,0.438
1000,19910,0.633
1000,20356,0.016
1000,20025,0.093
1000,20938,0.134
1000,19820,0.006
1000,19576,0.207
1000,19247,0.501
1000,20323,0.009
1000,20356,0.006
1000,19956,0.335
1000,20119,0.006
1000,21772,0.74
1000,19886,0.704
1000,19981,0.755
1000,21249,0.045
1000,20558,0.838
1000,20048,0.155
1000,19775,0.48
1000,20869,0.659
1000,19276,0.275
1000,20301,0.675
1000,19746,0.003
1000,20084,0.005
1000,21054,0.257
1000,20416,0.018
1000,18850,0.753
1000,19429,0.483
1000,19033,0.506
1000,19908,0.481
1000,22028,0.631
1000,21168,0.049
1000,20661,0.021
1000,20399,0.494
1000,19835,0.297
1000,20723,0.008
1000,19986,0.21
1000,20310,0.46
1000,21012,0.121
1000,19629,0.27
1000,20225,0.014
1000,20552,0.283
1000,19776,0.019
1000,19619,0.664
1000,19545,0.139
1000,20396,0.627
1000,20105,0.693
1000,21709,0.025
1000,20198,0.5
1000,20438,0.057
1000,20209,0.646
1000,19530,0.29
1000,20202,0.529
1000,19671,0.067
1000,21028,0.193
1000,19872,0.02
1000,20938,0.01
1000,18811,0.551
1000,20069,0.624
1000,20533,0.158
1000,19520,0.632
1000,19364,0.056
1000,21214,0.053
1000,19511,0.349
1000,20789,0.106
1000,19764,0.074
1000,19210,0.268
1000,20231,0.541
1000,20921,0.117
1000,18618,0.103
1000,20453,0.148
1000,21139,0.025
1000,20322,0.034
1000,19873,0.699
1000,21750,0.672
1000,19968,0.757
1000,20073,0.697
1000,19881,0.601
1000,19729,0.674
1000,19087,0.636
1000,19892,0.799
1000,20045,0.407
1000,19141,0.357
1000,19668,0.537
1000,20369,0.054
1000,20142,0.284
1000,21084,0.711
1000,20222,0.636
1000,19899,0.497
1000,20029,0.394
1000,20718,0.408
1000,21194,0.46
1000,20808,0.606
1000,21189,0.331
1000,19572,0.316
1000,19279,0.44
1000,20564,0.087
1000,19222,0.374
1000,20917,0.125
1000,21394,0.209
1000,21014,0.188
1000,19851,0.313
1000,18166,0.365
1000,18596,0.141
1000,20966,0.632
1000,20109,0.686
1000,21121,0.649
1000,19834,0.54
1000,21343,0.7
1000,20030,0.565
1000,20061,0.657
1000,20411,0.677
1000,21408,0.606
1000,19853,0.645
1000,20135,0.008
1000,21163,0.524
1000,19737,0.56
1000,20147,0.607
1000,20156,0.723
1000,19646,0.019
1000,20530,0.123
1000,19322,0.474
1000,20235,0.285
1000,19192,0.613
1000,19213,0.339
1000,19749,0.226
1000,20263,0.316
1000,20261,0.097
1000,20308,0.201
1000,20461,0.191
1000,21042,0.483
1000,20360,0.001
1000,19721,0.13
1000,20126,0.088
1000,18476,0.007
1000,19328,0.671
1000,20179,0.642
1000,20982,0.716
1000,19470,0.664
1000,20019,0.533
1000,19423,0.427
1000,20254,0.24
1000,19595,0.666
1000,17862,0.115
1000,20432,0.058
1000,19207,0.055
1000,20478,0.218
1000,19854,0.417
1000,20769,0.669
1000,20344,0.697
1000,20066,0.007
1000,21707,0.575
1000,18175,0.35
1000,18699,0.016
1000,20985,0.004
1000,19751,0.437
1000,20254,0.004
1000,19906,0.38
1000,20141,0.12
1000,21072,0.549
1000,20297,0.135
1000,19950,0.134
1000,21023,0.226
1000,19303,0.378
1000,19617,0.003
1000,21150,0.713
1000,19821,0.668
1000,19088,0.511
1000,19972,0.678
1000,20280,0.566
1000,20842,0.08
1000,19262,0.174
1000,21401,0.553
1000,20259,0.721
1000,21594,0.093
1000,19777,0.047
1000,19463,0.109
1000,19504,0.005
1000,21278,0.009
1000,20618,0.024
1000,21482,0.342
1000,18994,0.619
1000,20663,0.018
1000,20822,0.442
1000,20525,0.256
1000,19579,0.044
1000,19842,0.395
1000,20788,0.194
1000,20355,0.212
1000,20048,0.256
1000,20030,0.291
1000,22001,0.126
1000,19019,0.006
1000,19882,0.664
1000,20727,0.048
1000,20417,0.16
1000,19286,0.667
1000,20333,0.658
1000,19980,0.581
1000,18715,0.055
1000,19398,0.65
1000,21253,0.675
1000,20232,0.531
1000,19949,0.443
1000,20541,0.198
1000,19841,0.518
1000,19638,0.448
1000,19961,0.711
1000,19053,0.008
1000,19762,0.392
1000,20065,0.296
1000,20130,0.572
1000,19571,0.012
1000,20043,0.204
1000,20644,0.133
1000,21239,0.442
1000,21508,0.314
1000,19080,0.31
1000,20920,0.154
1000,19711,0.225
1000,19413,0.426
1000,19492,0.062
1000,18926,0.088
1000,19776,0.152
1000,20707,0.17
1000,20237,0.094
1000,21650,0.685
1000,21294,0.659
1000,20648,0.647
1000,18954,0.383
1000,20637,0.424
1000,19480,0.39
1000,20014,0.627
1000,20147,0.609
1000,20551,0.714
1000,20612,0.625
1000,20551,0.652
1000,19331,0.421
1000,20229,0.04
1000,21013,0.665
1000,21263,0.225
1000,18616,0.597
1000,20778,0.427
1000,20592,0.635
1000,20089,0.387
1000,20568,0.311
1000,19391,0.205
1000,19563,0.294
1000,20355,0.496
1000,20074,0.008
1000,20334,0.003
1000,20600,0.041
1000,19172,0.072
1000,20017,0.237
1000,20854,0.128
1000,20385,0.264
1000,20233,0.007
1000,21903,0.655
1000,19714,0.671
1000,20288,0.662
1000,20596,0.682
1000,19611,0.677
1000,20908,0.643
1000,19999,0.685
1000,19511,0.72
1000,19821,0.694
1000,19682,0.307
1000,19560,0.567
1000,20545,0.67
1000,19513,0.457
1000,19538,0.246
1000,19399,0.246
1000,21165,0.009
1000,19722,0.649
1000,19953,0.087
1000,20170,0.535
1000,19691,0.024
1000,19972,0.272
1000,20429,0.632
1000,20838,0.044
1000,21348,0.028
1000,18963,0.306
1000,21694,0.181
1000,20991,0.36
1000,20877,0.134
1000,19618,0.167
1000,21200,0.003
1000,20983,0.006
1000,21263,0.65
1000,18521,0.69
1000,20215,0.695
1000,19143,0.403
1000,19579,0.687
1000,19784,0.039
1000,19892,0.016
1000,19026,0.426
1000,19694,0.003
1000,20425,0.168
1000,19011,0.423
1000,19928,0.396
1000,19732,0.558
1000,19663,0.523
1000,20921,0.055
1000,19423,0.214
1000,20430,0.166
1000,19886,0.297
1000,21102,0.308
1000,19796,0.045
1000,20300,0.121
1000,19993,0.285
1000,19959,0.354
1000,19875,0.384
1000,20367,0.008
1000,19339,0.531
1000,21051,0.308
1000,19493,0.202
1000,20124,0.01
1000,20473,0.06
1000,22119,0.664
1000,18931,0.705
1000,20388,0.652
1000,20716,0.667
1000,20123,0.52
1000,20023,0.408
1000,19517,0.692
1000,19905,0.126
1000,19095,0.641
1000,20250,0.41
1000,20549,0.091
1000,18497,0.669
1000,20261,0.025
1000,19456,0.524
1000,19444,0.118
1000,19688,0.282
1000,21124,0.413
1000,20378,0.317
1000,19807,0.12
1000,20461,0.614
1000,20256,0.44
1000,20162,0.041
1000,18713,0.578
1000,19793,0.075
1000,20124,0.313
1000,20246,0.087
1000,20161,0.217
1000,20170,0.161
1000,19125,0.187
1000,20542,0.052
1000,19981,0.201
1000,20458,0.753
1000,22004,0.677
1000,20404,0.656
1000,20619,0.608
1000,20058,0.018
1000,20320,0.693
1000,20328,0.443
1000,20845,0.588
1000,20911,0.626
1000,20864,0.598
1000,20789,0.007
1000,19801,0.222
1000,20083,0.211
1000,20222,0.048
1000,20690,0.454
1000,20944,0.63
1000,21808,0.497
1000,21398,0.675
1000,20877,0.011
1000,19547,0.042
1000,22163,0.39
1000,21125,0.542
1000,20521,0.437
1000,19609,0.335
1000,19917,0.003
1000,20980,0.003
1000,19895,0.003
1000,20814,0.285
1000,20111,0.338
1000,19734,0.003
1000,19415,0.4
1000,20406,0.659
1000,20476,0.657
1000,19900,0.18
1000,20078,0.429
1000,18419,0.269
1000,20998,0.663
1000,20123,0.543
1000,19399,0.576
1000,20102,0.75
1000,19243,0.464
1000,20168,0.707
1000,20762,0.587
1000,19916,0.28
1000,19655,0.539
1000,20682,0.104
1000,20363,0.604
1000,21493,0.232
1000,20877,0.014
1000,20277,0.452
1000,20499,0.295
1000,20241,0.3
1000,20427,0.255
1000,21063,0.319
1000,19912,0.166
1000,20602,0.164
1000,20181,0.013
1000,19002,0.431
1000,20387,0.006
1000,20319,0.057
1000,19609,0.287
1000,21814,0.665
1000,20161,0.724
1000,21498,0.631
1000,20440,0.487
1000,19087,0.668
1000,21210,0.656
1000,20437,0.645
1000,21193,0.455
1000,20938,0.569
1000,21155,0.02
1000,20021,0.482
1000,19131,0.629
1000,19978,0.552
1000,20812,0.1
1000,19888,0.68
1000,19833,0.601
1000,19841,0.148
1000,19730,0.066
1000,19629,0.005
1000,20331,0.089
1000,20668,0.573
1000,20002,0.09
1000,19583,0.097
1000,21595,0.011
1000,19996,0.063
1000,21480,0.312
1000,20243,0.029
1000,21595,0.278
1000,20193,0.589
1000,19900,0.059
1000,20698,0.008
1000,20769,0.651
1000,20036,0.039
1000,21670,0.65
1000,20315,0.136
1000,19777,0.519
1000,20227,0.458
1000,20545,0.615
1000,19647,0.617
1000,19225,0.652
1000,19986,0.663
1000,18981,0.576
1000,20459,0.13
1000,19345,0.318
1000,18640,0.573
1000,20188,0.286
1000,20046,0.119
1000,20457,0.398
1000,19633,0.136
1000,20837,0.426
1000,18680,0.407
1000,19751,0.101
1000,20569,0.227
1000,20366,0.632
1000,20938,0.283
1000,21351,0.329
1000,20407,0.676
1000,19951,0.006
1000,20787,0.003
1000,21987,0.163
1000,20397,0.003
1000,20175,0.663
1000,19983,0.679
1000,21618,0.098
1000,19761,0.646
1000,20459,0.717
1000,20585,0.456
1000,19997,0.172
1000,20122,0.606
1000,20082,0.018
1000,21012,0.63
1000,19486,0.337
1000,20698,0.236
1000,19350,0.637
1000,21083,0.197
1000,20513,0.28
1000,21594,0.571
1000,19626,0.038
1000,20850,0.02
1000,21025,0.573
1000,20442,0.027
1000,19181,0.249
1000,19255,0.187
1000,19865,0.013
1000,20615,0.192
1000,21169,0.218
1000,19745,0.006
1000,20738,0.295
1000,21084,0.598
1000,20266,0.061
1000,19262,0.028
1000,20044,0.15
1000,19204,0.691
1000,20212,0.14
1000,20557,0.706
1000,19826,0.682
1000,20583,0.684
1000,19973,0.567
1000,19957,0.417
1000,20076,0.26
1000,20074,0.626
1000,19984,0.561
1000,19708,0.573
1000,20450,0.018
1000,20148,0.566
1000,19895,0.215
1000,19198,0.5
1000,20399,0.371
1000,19730,0.351
1000,19845,0.249
1000,19214,0.631
1000,20389,0.116
1000,19405,0.449
1000,20089,0.335
1000,20423,0.003
1000,20433,0.524
1000,20345,0.015
1000,20100,0.098
1000,19747,0.278
1000,20247,0.013
1000,19617,0.26
1000,19764,0.323
1000,20899,0.119
1000,20907,0.38
1000,20639,0.63
1000,20087,0.654
1000,21347,0.378
1000,20367,0.64
1000,20623,0.143
1000,20548,0.612
1000,20430,0.078
1000,20246,0.57
1000,19633,0.484
1000,20200,0.587
1000,20461,0.47
1000,20122,0.313
1000,20575,0.723
1000,19247,0.008
1000,20004,0.036
1000,20390,0.417
1000,19788,0.104
1000,20563,0.06
1000,20585,0.67
1000,20844,0.043
1000,19855,0.003
1000,20051,0.063
1000,19908,0.064
1000,20615,0.089
1000,19993,0.003
1000,19443,0.58
1000,19906,0.003
1000,19940,0.374
1000,18264,0.006
1000,21356,0.691
1000,19095,0.706
1000,20662,0.663
1000,19879,0.687
1000,20509,0.576
1000,19670,0.424
1000,19473,0.107
1000,21207,0.193
1000,18586,0.506
1000,20203,0.52
1000,20343,0.532
1000,21017,0.564
1000,21506,0.572
1000,21342,0.004
1000,20200,0.554
1000,21421,0.039
1000,21497,0.408
1000,19588,0.019
1000,20229,0.207
1000,22419,0.524
1000,19685,0.004
1000,20716,0.586
1000,19447,0.007
1000,19877,0.221
1000,19764,0.027
1000,22005,0.008
1000,20450,0.4
1000,21344,0.236
1000,21030,0.121
1000,19440,0.12
1000,19623,0.261
1000,20912,0.646
1000,22177,0.657
1000,19231,0.33
1000,21283,0.627
1000,20418,0.732
1000,19593,0.64
1000,18987,0.445
1000,19917,0.143
1000,21069,0.591
1000,20584,0.394
1000,19633,0.535
1000,19442,0.532
1000,19169,0.625
1000,19563,0.013
1000,20228,0.56
1000,19556,0.399
1000,20312,0.162
1000,19097,0.249
1000,20296,0.068
1000,19929,0.051
1000,20424,0.003
1000,18738,0.632
1000,19328,0.108
1000,20274,0.052
1000,21392,0.103
1000,19752,0.005
1000,19526,0.035
1000,21271,0.277
1000,19145,0.367
1000,19517,0.181
1000,20853,0.023
1000,20531,0.7
1000,20035,0.68
1000,20066,0.674
1000,20093,0.006
1000,21020,0.716
1000,18826,0.198
1000,20152,0.049
1000,20788,0.609
1000,19458,0.384
1000,19934,0.024
1000,19347,0.255
1000,20208,0.24
1000,20034,0.122
1000,21206,0.681
1000,20718,0.456
1000,20126,0.249
1000,21813,0.002
1000,20051,0.398
1000,20551,0.093
1000,20171,0.003
1000,20439,0.321
1000,21227,0.013
1000,20605,0.507
1000,19946,0.225
1000,19275,0.063
1000,19756,0.466
1000,20550,0.115
1000,21262,0.003
1000,19536,0.452
1000,20323,0.563
1000,20590,0.717
